	fav_recoveryA	fav_recoveryB	fav_recoveryC	fav_stressA	fav_stressB	fav_stressC
symcomp1030	0	0	0	0	0	0
symcomp10302	1	9	0	3	2	0
symcomp103026	0	2	0	0	0	0
symcomp10303	6	17	9	22	5	0
symcomp10306	0	0	0	0	0	0
symcomp10309	9	4	6	8	6	0
symcomp103112	1	3	5	0	1	0
symcomp10313	2	6	0	1	0	0
symcomp10314	1	1	1	1	0	0
symcomp10317	0	0	0	2	0	0
symcomp10319	2	4	2	11	1	0
symcomp103206	1	2	0	0	2	0
symcomp10324	4	8	1	7	7	0
symcomp10327	8	19	14	11	6	0
symcomp10331	0	0	0	0	0	0
symcomp10332	0	0	0	0	0	0
symcomp10335	0	0	0	0	0	0
symcomp10338	14	30	16	23	11	0
symcomp1034	0	0	0	0	0	0
symcomp10341	13	82	18	96	43	1
symcomp10344	0	10	0	0	0	0
symcomp103461	0	0	0	1	0	0
symcomp10348	0	1	0	0	0	0
symcomp103494	0	0	0	0	0	0
symcomp10350	0	0	0	0	0	0
symcomp10351	1	2	1	0	0	0
symcomp10352	0	0	0	0	0	0
symcomp10353	0	0	0	0	0	0
symcomp10354	0	2	0	2	4	0
symcomp10355	11	49	11	28	18	0
symcomp10357	0	0	0	0	1	0
symcomp10358	0	0	0	0	0	0
symcomp10359	0	0	0	0	0	0
symcomp10360	4	19	8	17	13	0
symcomp10368	0	1	0	0	0	0
symcomp10370	14	9	7	40	17	1
symcomp10372	1	1	0	1	0	0
symcomp10373	0	0	1	1	0	0
symcomp10374	0	0	0	0	1	0
symcomp10375	0	0	0	0	0	0
symcomp10377	0	0	0	0	0	0
symcomp10378	0	0	0	0	0	0
symcomp10383	1	2	1	2	1	0
symcomp10384	0	0	0	0	0	0
symcomp10386	0	0	0	0	0	0
symcomp10389	3	30	7	19	11	0
symcomp10390	0	0	0	0	0	0
symcomp10391	24	76	17	60	40	2
symcomp10392	0	0	0	0	0	0
symcomp10394	0	7	0	0	0	0
symcomp10395	0	0	0	0	0	0
symcomp10396	0	0	0	0	0	0
symcomp10397	15	21	7	21	18	0
symcomp10400	0	0	0	0	0	0
symcomp10402	0	0	0	0	0	0
symcomp10403	0	1	0	0	0	0
symcomp10404	1	11	0	0	0	0
symcomp10405	1	12	0	13	2	1
symcomp10407	0	0	0	0	0	0
symcomp10412	2	15	3	41	28	2
symcomp10413	0	1	0	0	0	0
symcomp10414	0	0	0	0	0	0
symcomp10415	0	0	0	0	0	0
symcomp10416	0	0	0	0	0	0
symcomp10418	6	11	6	9	1	0
symcomp10419	5	19	5	9	9	0
symcomp10420	0	1	0	1	1	0
symcomp10421	9	13	11	5	5	0
symcomp10423	0	0	0	1	0	0
symcomp10424	0	0	0	0	5	0
symcomp10425	2	25	2	13	8	0
symcomp10432	0	0	1	0	4	0
symcomp10434	16	65	8	28	5	0
symcomp10435	0	1	1	0	0	0
symcomp10437	0	3	3	7	4	0
symcomp10438	5	10	10	12	10	0
symcomp10439	5	12	9	11	17	5
symcomp104390	0	0	0	0	0	0
symcomp10441	0	0	0	0	0	0
symcomp10445	0	0	0	0	0	0
symcomp10449	0	0	0	0	0	0
symcomp10450	3	2	0	0	1	0
symcomp104506	0	6	0	1	0	0
symcomp10453	4	8	1	5	3	0
symcomp10454	0	0	0	0	0	0
symcomp10456	7	14	7	20	5	0
symcomp10457	0	0	0	0	0	0
symcomp10458	0	0	0	0	0	0
symcomp10463	0	0	0	0	0	0
symcomp10465	0	0	0	0	0	0
symcomp10472	0	3	0	0	0	0
symcomp10473	0	1	0	0	0	0
symcomp10478	0	2	0	2	0	0
symcomp10479	2	3	0	1	3	0
symcomp10487	0	0	0	0	0	0
symcomp104872	0	3	1	0	0	0
symcomp10489	8	40	9	1	4	0
