	NN1	NN2	NN3	UU1	UU2	UU3
SPU_018630	0	0	2	1	2	1
SPU_010186	221	191	236	269	247	153
SPU_010185	119	135	179	166	130	153
ENSRNA022743601	0	3	1	0	0	0
SPU_002858	10	15	27	15	15	13
SPU_002859	388	379	421	433	370	439
SPU_000679	2	0	2	1	0	0
SPU_002860	982	806	1084	871	643	523
SPU_012558	56	51	75	39	10	5
SPU_008476	0	0	0	0	0	0
SPU_028745	3	0	0	1	2	0
SPU_019355	1	0	2	0	4	2
SPU_004360	1	0	0	0	0	0
ENSRNA022744046	0	0	0	0	0	0
ENSRNA022744043	0	0	0	0	0	0
ENSRNA022744036	0	0	0	0	0	0
ENSRNA022744040	0	0	0	0	0	0
SPU_023875	12	6	3	6	7	0
SPU_019751	0	0	0	0	0	0
SPU_023876	1607	1670	1763	1516	1187	647
SPU_008085	828	836	840	809	661	484
ENSRNA022744050	6	0	1	0	0	3
SPU_008089	55	43	51	57	61	39
SPU_012028	7	18	9	8	4	5
SPU_008088	19	22	17	13	17	15
SPU_008087	0	0	3	0	0	0
SPU_003361	0	0	0	0	0	0
SPU_008086	0	0	0	0	0	0
SPU_000254	0	2	0	0	1	0
SPU_000255	62	46	50	76	57	46
SPU_000253	47	65	37	55	42	35
SPU_000256	177	252	178	227	231	188
SPU_000252	1709	1668	1801	1799	1507	1118
SPU_027348	0	0	0	0	0	0
SPU_027347	0	0	0	0	1	0
SPU_018861	34	37	61	37	24	14
SPU_025239	162	122	138	84	83	50
SPU_025240	0	0	0	0	0	0
SPU_000251	0	3	1	2	0	0
SPU_000257	201	180	210	244	197	170
SPU_010756	71	71	61	78	66	44
SPU_026194	195	220	244	212	175	114
SPU_026197	0	0	0	0	0	0
SPU_026196	1	0	5	0	0	1
SPU_026195	24	29	21	27	14	26
SPU_024065	184	185	198	218	182	97
SPU_024067	228	245	247	318	209	134
SPU_024066	101	88	108	118	110	46
SPU_017870	154	146	115	154	141	123
SPU_004399	17	26	10	19	10	11
SPU_002727	75	83	86	93	89	29
SPU_023048	706	749	780	721	673	546
SPU_002598	14	7	13	26	13	10
SPU_002994	90	84	138	106	58	39
SPU_002993	42	38	38	32	14	16
ENSRNA022743258	0	0	0	0	0	0
SPU_004052	47	63	62	47	51	46
SPU_005753	0	0	0	0	0	0
SPU_006261	959	960	859	1091	992	955
SPU_006262	105	91	107	90	96	76
SPU_019441	13	8	22	17	6	8
SPU_001853	456	401	438	483	386	271
SPU_007950	12	14	17	4	8	12
SPU_007952	208	217	162	221	170	142
SPU_007951	23	16	28	21	14	11
SPU_013299	66	40	31	44	53	38
SPU_013298	26	29	27	53	20	14
SPU_018280	156	136	160	133	145	155
SPU_017066	256	225	304	257	258	336
SPU_014979	2	10	17	10	5	6
SPU_014978	1	1	0	0	0	0
SPU_014977	615	697	687	398	340	266
SPU_009581	0	0	0	0	0	0
SPU_009582	0	1	0	0	2	1
SPU_017873	10	13	9	0	0	0
SPU_009110	5	0	4	0	0	0
SPU_016187	0	0	0	1	2	0
SPU_018668	0	0	0	0	0	0
SPU_023384	1	0	0	0	0	0
SPU_023385	0	0	0	0	0	0
SPU_019007	1	0	0	2	0	1
SPU_019004	12	14	15	9	17	8
SPU_019005	4	1	2	0	0	0
SPU_019333	38	23	30	32	20	17
SPU_018552	60	32	32	30	36	25
SPU_003119	182	137	156	121	115	71
SPU_003120	248	208	226	283	205	213
SPU_006825	0	0	0	0	0	0
ENSRNA022745562	0	0	0	0	0	0
ENSRNA022745559	0	0	0	0	0	0
ENSRNA022745555	0	0	0	0	0	0
SPU_005096	523	530	508	659	578	474
SPU_005095	4	8	5	7	1	6
SPU_021531	30	51	43	98	54	31
SPU_021532	57	66	84	62	52	40
SPU_015114	64	66	60	38	32	27
SPU_015113	2	4	1	0	0	0
SPU_015112	1	0	1	0	0	0
SPU_015111	2	1	3	1	2	0
SPU_012906	0	1	2	4	1	1
SPU_012907	1	1	0	1	0	1
SPU_015110	0	1	0	0	0	0
SPU_015115	6	4	6	4	2	2
SPU_013540	0	6	1	0	2	4
SPU_013539	347	287	296	259	234	194
SPU_005097	253	263	241	182	164	86
SPU_006715	1	0	0	0	3	1
SPU_026482	0	0	0	0	1	0
SPU_012656	1	1	2	2	0	0
SPU_026392	3	0	5	3	1	2
SPU_012653	14	14	0	5	4	1
SPU_012652	0	1	0	0	1	0
SPU_000944	2	0	0	2	0	2
SPU_027466	56	57	63	22	19	11
SPU_027467	1	4	1	9	4	7
SPU_007625	1	1	3	0	1	1
SPU_025004	0	0	0	0	0	0
SPU_028866	2099	2099	2026	2028	1882	1844
SPU_022603	89	108	109	115	76	50
SPU_022609	192	180	205	208	174	129
SPU_013160	20	24	31	21	28	5
SPU_008816	0	0	0	0	1	0
SPU_009702	55	34	40	96	83	31
SPU_023251	0	1	4	4	0	1
SPU_023252	0	0	1	0	0	0
SPU_026131	61	63	55	42	41	46
SPU_008574	762	710	780	527	445	340
SPU_008575	721	579	832	489	385	255
SPU_007364	36	22	23	41	27	19
SPU_021019	10	3	2	10	8	12
SPU_017957	3	0	2	0	2	0
SPU_000868	71	31	31	21	24	12
SPU_024134	0	0	0	0	0	0
SPU_022622	0	0	0	0	0	0
SPU_013035	0	0	0	0	0	0
SPU_008536	0	0	0	0	0	0
SPU_021683	175	20	38	25	31	37
SPU_021682	35	58	31	43	33	21
SPU_013100	1467	1275	1366	1263	997	670
SPU_027548	190	222	207	190	157	117
SPU_027549	0	0	0	0	0	0
SPU_027550	2	1	2	0	0	0
SPU_010431	0	0	0	0	0	0
SPU_027551	0	0	0	0	0	0
SPU_010432	0	0	0	0	0	0
SPU_010433	0	0	0	0	2	0
SPU_008156	0	1	1	0	1	3
SPU_015702	1	1	0	0	0	0
SPU_004243	0	1	2	1	1	0
SPU_024538	2	1	2	1	0	0
SPU_024539	0	0	1	0	0	2
SPU_004250	0	1	0	0	0	0
SPU_004244	0	0	0	0	0	0
SPU_025057	0	0	0	1	0	0
SPU_004245	572	678	588	455	424	397
SPU_004249	26	22	19	12	18	8
SPU_002188	65	63	72	51	52	41
SPU_004246	33	21	30	20	12	12
SPU_004247	55	37	50	42	42	31
SPU_008391	0	0	0	0	0	0
SPU_014841	327	335	412	291	209	153
SPU_009977	0	0	0	0	0	0
SPU_010865	10	6	17	5	15	7
SPU_010866	146	120	117	111	92	96
SPU_006455	5	7	10	14	12	4
SPU_000607	1948	1734	2011	2122	1494	701
SPU_004499	116	99	102	122	157	44
SPU_015816	13	5	14	7	30	36
SPU_015815	0	0	0	0	0	0
SPU_000114	1037	1218	1064	1086	930	1032
SPU_018060	3	0	1	0	4	1
SPU_018061	98	119	108	58	55	63
SPU_018062	93	42	83	52	52	58
SPU_026511	6	7	9	6	9	4
SPU_026512	67	87	108	115	112	94
SPU_026826	88	82	83	123	58	53
SPU_017024	9	5	5	10	6	0
SPU_018561	0	0	0	0	0	0
SPU_021641	0	0	0	2	0	0
SPU_025229	85	59	65	62	51	24
SPU_026178	775	724	780	585	445	326
SPU_010264	35	35	35	40	34	33
SPU_017320	1	2	0	3	0	0
SPU_017321	1	3	2	0	0	0
SPU_006500	4	1	3	0	3	0
SPU_006499	3	3	4	1	4	4
SPU_006501	613	379	506	476	583	967
SPU_002615	145	123	217	90	79	57
SPU_002614	123	126	145	131	94	108
SPU_002613	165	176	173	159	132	91
SPU_020292	260	227	292	248	220	163
SPU_020293	27	13	16	20	14	7
SPU_016580	51	67	55	61	52	43
SPU_021645	0	2	2	0	0	0
SPU_019697	2	0	0	0	0	0
SPU_009174	0	2	2	0	0	0
SPU_002596	1	1	2	0	1	0
SPU_011864	0	0	0	0	0	0
SPU_009656	0	0	0	0	0	0
SPU_024928	277	211	310	204	129	96
SPU_018313	0	0	0	0	0	0
SPU_018314	75	132	83	24	11	16
SPU_018312	36	46	41	31	25	18
SPU_024576	1	3	1	0	2	6
SPU_024575	1	0	7	1	1	1
SPU_026377	1	2	1	0	1	0
SPU_026376	10	14	8	8	3	1
SPU_000459	1	2	0	0	0	1
SPU_000458	42	61	49	30	38	33
SPU_018427	0	0	0	0	0	0
SPU_017499	1	1	0	0	1	1
SPU_004922	0	2	0	3	0	0
SPU_006077	7	0	6	2	3	4
SPU_006078	3	1	6	0	2	11
SPU_006079	205	207	168	151	115	93
SPU_011498	0	0	0	0	0	0
SPU_017880	0	0	0	0	0	0
SPU_020500	0	0	0	0	0	0
SPU_008019	125	105	117	90	50	28
SPU_020632	1	2	4	0	6	1
SPU_020633	24	22	37	4	17	9
SPU_020634	754	692	1078	858	514	282
SPU_026886	1334	1292	1447	1104	847	681
SPU_026885	369	346	424	383	298	200
SPU_018991	100	95	90	61	62	56
SPU_001731	0	0	0	0	0	0
SPU_006751	0	0	2	0	0	0
SPU_004068	0	0	0	0	0	0
SPU_020327	64	65	77	81	68	59
SPU_028519	0	0	0	0	0	0
SPU_017332	0	0	0	0	0	0
SPU_017331	0	0	0	0	0	0
SPU_017330.a	42	32	22	33	25	19
SPU_017330.b	0	0	0	0	0	0
SPU_007447	1	4	2	0	2	4
SPU_008899	95	94	122	83	89	81
SPU_004012	7	11	12	8	9	9
SPU_012178	56	73	66	55	74	43
SPU_024420	221	245	170	445	425	487
SPU_024416	194	157	191	185	128	145
SPU_017203	0	0	0	0	0	0
SPU_010841	0	3	0	1	0	0
SPU_016120	131	93	88	138	130	74
SPU_024224	16	16	18	15	7	9
SPU_017586	1	5	0	0	0	0
SPU_017583	19	15	21	20	14	16
SPU_004831	0	0	0	1	1	0
SPU_003913	762	656	781	645	559	333
SPU_011639	1	2	3	2	1	0
SPU_011640	384	355	459	363	270	207
SPU_012243	86	60	59	81	83	90
SPU_010571	18	21	42	31	28	29
SPU_010570	816	770	906	973	861	727
SPU_009486	12	12	10	8	12	4
SPU_010572	22	20	17	19	11	9
SPU_010573	23	16	17	25	25	15
SPU_010574	0	0	0	0	0	0
SPU_018928	0	0	0	0	0	0
SPU_010575	0	0	0	0	0	0
SPU_010569	0	0	1	0	3	1
SPU_023683	1228	1280	1276	1259	1127	994
SPU_010567	35	37	39	28	29	9
SPU_010568	0	0	0	0	0	0
SPU_010566	22	7	21	22	10	5
SPU_010565	636	695	611	555	440	406
SPU_013253	0	0	0	0	0	0
SPU_010564	39	45	57	28	23	34
SPU_009953	1	0	1	0	0	0
SPU_007293	33	29	34	28	23	37
SPU_007292	16	26	24	21	16	14
SPU_015169	29	21	31	35	20	24
SPU_024483	0	0	0	0	0	0
SPU_019082	0	0	0	0	0	0
SPU_010563	0	1	0	0	0	0
SPU_010576	0	0	1	0	4	0
SPU_016578	22	23	30	36	39	13
SPU_001758	184	179	190	111	88	67
SPU_001757	1	0	2	1	1	0
SPU_010291	2	2	6	2	1	5
SPU_020531	0	0	0	0	0	0
SPU_006066	0	0	0	0	0	0
SPU_000808	1	0	1	1	2	2
SPU_009024	0	0	0	0	0	0
SPU_011057	0	0	0	0	0	0
SPU_013545	2	0	0	0	0	0
SPU_008165	4	5	5	1	3	1
SPU_008167	0	0	2	0	0	0
SPU_007005	0	1	0	0	0	0
SPU_002471	0	0	0	0	0	0
SPU_002470	0	0	0	1	0	0
SPU_014850	1	3	0	1	0	0
SPU_014854	0	0	0	0	0	0
SPU_007220	122	71	123	91	93	85
SPU_008373	8	6	12	3	1	6
SPU_019574	25	11	25	25	12	9
ENSRNA022742717	0	0	0	0	0	0
ENSRNA022742713	0	0	0	0	0	0
ENSRNA022742714	4	0	0	0	3	1
SPU_007805	877	862	843	763	701	645
SPU_018662	156	119	147	99	61	58
SPU_028610	6	7	3	3	1	3
SPU_003979	192	170	166	196	129	124
SPU_006378	921	1049	1134	886	728	564
SPU_006379	419	484	474	481	418	380
SPU_006377	83	95	76	72	85	68
SPU_008915	0	0	0	0	0	0
SPU_010458	128	161	191	153	83	90
SPU_009193	51	41	59	40	34	52
SPU_016160	1	0	0	0	0	0
ENSRNA022743725	0	0	0	0	0	0
SPU_016138	0	0	0	0	0	0
SPU_024784	8	4	4	15	7	3
SPU_012448	395	410	423	189	114	120
SPU_012447	7	3	2	1	1	0
SPU_015413	0	0	0	0	0	0
SPU_027690	19	15	26	11	29	11
SPU_027691	24	21	16	8	13	7
SPU_020558	4	7	8	7	2	9
SPU_001378	0	0	0	0	0	0
SPU_003570	0	1	3	0	0	1
SPU_000041	10	6	8	8	0	3
SPU_003569	1	1	5	1	6	2
SPU_025555	4047	3793	3974	3442	3161	2721
SPU_025556	511	514	539	413	368	300
SPU_025554	239	246	232	188	191	114
SPU_020243	126	76	135	96	93	45
SPU_020250	511	460	429	488	448	319
ENSRNA022746139	0	3	1	4	1	0
SPU_020242	58	57	69	59	50	46
SPU_020251	129	154	157	134	108	68
SPU_016525	0	0	0	0	2	0
SPU_004661	3	0	0	2	0	1
SPU_022518	0	0	0	0	0	0
SPU_013172	29	28	36	34	21	14
SPU_013171	83	53	63	66	73	54
SPU_021900	0	0	0	0	0	0
SPU_007039	3	1	2	5	1	3
SPU_022379	1	1	1	1	3	1
SPU_026724	711	613	727	634	499	308
SPU_015969	90	89	99	85	55	37
SPU_015970	34	24	30	28	33	26
SPU_027274	63	56	83	89	57	40
SPU_014038	22	33	32	19	22	9
SPU_021143	205	199	204	170	133	130
SPU_021144	475	479	478	530	403	421
SPU_021142	340	391	447	382	305	260
SPU_021145	48	45	66	48	23	21
SPU_018135	26	39	36	33	34	32
SPU_000501	327	275	314	244	188	128
SPU_019964	3	1	4	0	3	0
SPU_019966	0	0	2	3	0	0
SPU_010231	3	2	11	2	3	1
SPU_023294	0	0	0	0	0	1
SPU_005068	1	1	0	9	9	3
SPU_010703	46	37	28	39	23	44
SPU_010704	209	197	247	187	134	84
SPU_026182	14	3	0	9	2	0
SPU_004535	2	0	5	2	6	1
SPU_011135	1	1	2	2	1	0
SPU_009507	667	704	682	650	573	467
SPU_008486	0	0	0	0	0	0
SPU_000265	1	3	6	0	2	1
SPU_000264	1	2	6	0	0	4
SPU_006593	0	0	0	0	0	0
SPU_011074	5	16	6	8	6	3
SPU_011075	14528	13993	14076	14367	13265	13520
ENSRNA022743637	4	3	8	7	5	8
ENSRNA022743633	1	2	1	0	1	1
ENSRNA022743630	0	0	1	0	0	0
SPU_001860	383	306	456	386	269	156
SPU_015734	0	0	0	0	0	0
SPU_024862	214	225	226	192	162	108
SPU_011701	98	72	122	93	79	43
SPU_007487	7	1	12	3	8	4
SPU_011698	48	51	50	65	36	8
SPU_023354	70	80	98	86	93	49
SPU_023355	98	152	142	200	135	126
SPU_023356	0	0	0	1	4	3
SPU_009959	1	1	0	0	0	1
SPU_009960	34	39	21	34	25	33
SPU_009961	109	129	150	125	81	84
SPU_005203	17	22	15	16	14	13
ENSRNA022743422	0	0	0	0	0	0
SPU_006708	157	167	176	186	135	90
SPU_006709	86	99	81	78	65	50
SPU_008645	81	76	96	111	72	116
SPU_001016	11	26	15	17	13	6
SPU_001015	2	7	6	3	4	5
SPU_024083	273	338	303	251	165	129
SPU_021293	1530	1704	1686	1403	1358	1024
SPU_003198	8	15	4	12	7	3
SPU_028247	7944	7933	7646	8889	8761	9457
SPU_028251	315	285	333	289	238	150
SPU_016485	282	291	332	280	220	168
SPU_016484	25	25	33	26	26	19
SPU_028250	3	0	2	1	2	0
SPU_028249	827	875	913	698	519	381
SPU_005906	0	0	1	0	0	0
SPU_028248	135	140	158	123	66	51
SPU_010199	498	525	512	505	370	311
SPU_000131	15	16	23	10	9	4
SPU_000127	654	658	713	773	623	565
SPU_009993	0	0	0	0	0	0
SPU_009994	45	45	34	27	38	23
SPU_009996	115	121	140	97	72	45
SPU_009995	111	110	108	109	81	51
ENSRNA022743027	0	0	0	0	0	0
SPU_027578	8	2	8	3	1	5
SPU_004129	32	31	29	47	41	26
SPU_023257	0	1	1	0	0	1
SPU_001751	39	41	52	58	52	41
SPU_003597	4	14	7	8	8	12
SPU_003596	732	754	787	946	897	743
SPU_003595	517	519	561	490	346	276
SPU_003592	100	97	111	121	83	57
SPU_011919	27	38	34	24	11	18
SPU_025221	143	165	159	117	103	75
SPU_023366	34	54	54	43	26	8
SPU_027446	13	22	18	13	10	8
SPU_025153	168	163	207	162	149	146
SPU_003594	75	82	69	65	52	34
SPU_003593	27	14	36	12	20	8
SPU_002864	11	6	10	2	7	1
SPU_025160	198	191	225	204	136	100
SPU_025159	205	176	181	163	96	103
SPU_025155	126	146	140	171	165	175
SPU_025158	163	153	160	134	141	114
SPU_013980	18	23	23	20	26	28
SPU_013979	24	26	22	29	18	21
SPU_023097	20	21	23	35	19	8
SPU_023096	17	36	32	24	13	23
SPU_014572	4289	3888	4220	3837	3344	3018
SPU_006220	5953	6376	6273	6268	5859	5887
SPU_012208	34	24	32	36	29	30
SPU_025565	0	2	3	0	0	0
SPU_027705	0	0	0	0	0	0
SPU_027704	2	2	0	1	0	0
SPU_008366	40	45	52	40	22	12
SPU_002619	31	39	29	25	22	16
SPU_011789	880	902	858	931	783	715
SPU_016224	40	53	41	57	37	24
SPU_020933	218	260	217	266	223	228
SPU_003726	424	362	407	370	324	171
SPU_011790	151	122	140	144	83	49
SPU_000625	94	95	91	51	46	48
SPU_007564	106	93	122	110	70	59
SPU_007563	408	443	435	452	378	227
SPU_007562	235	243	283	196	178	114
SPU_007059	14	18	27	18	8	2
SPU_007054	36	54	53	60	45	19
SPU_007058	118	82	98	116	83	87
SPU_017607	87	74	85	57	67	39
SPU_007055	482	469	474	463	423	344
SPU_007057	795	798	863	988	856	833
SPU_007056	0	3	4	2	0	0
SPU_019103	0	0	1	1	0	0
SPU_019101	5	6	6	4	5	8
SPU_019102	12	24	26	19	26	18
SPU_010294	146	139	143	126	111	85
SPU_010295	959	951	853	1091	902	807
SPU_010293	662	722	682	774	580	467
SPU_027022	82	103	128	116	59	64
SPU_027020	1963	2171	2203	2403	2063	2012
SPU_027021	86	108	141	130	65	63
SPU_005569	7	3	0	10	2	4
SPU_005568	40	33	45	23	15	15
SPU_007458	17	14	9	14	20	19
SPU_007459	1	2	0	1	0	3
SPU_007460	23	15	21	23	28	18
SPU_007457	92	72	98	102	91	87
SPU_007461	262	227	288	256	209	150
SPU_007462	4	9	18	10	5	13
SPU_025729	2	1	0	1	2	0
SPU_007456	149	138	152	188	139	96
SPU_024681	1	1	0	1	3	4
SPU_001141	148	170	156	190	108	115
SPU_001142	127	112	132	167	114	110
SPU_023681	34	36	41	24	10	10
SPU_017233	141	165	103	153	109	67
SPU_011304	206	203	203	177	141	119
SPU_011305	63	60	57	64	70	40
SPU_007344	68	63	67	81	43	53
SPU_007345	139	149	170	235	182	132
SPU_007343	51	56	48	42	28	21
SPU_007342	43	36	37	35	24	26
SPU_001026	15	23	19	23	7	17
SPU_007341	1188	1248	1367	1128	930	713
SPU_007346	228	240	301	258	195	131
SPU_006149	84	84	59	70	60	39
SPU_007340	106	95	90	76	85	89
SPU_007931	88	96	80	56	37	70
SPU_007930	0	0	0	0	0	0
SPU_007929	0	0	0	0	0	0
SPU_007932	0	0	0	0	0	0
SPU_012341	0	0	2	0	0	0
SPU_012340	0	1	3	0	0	1
SPU_004845	85	122	103	59	59	44
SPU_004844	312	287	315	263	184	160
SPU_000424	37	72	52	84	44	30
SPU_004839	94	68	102	86	75	73
SPU_004840	3773	3842	3851	4499	3890	3609
SPU_004842	0	0	0	0	0	0
SPU_004843	0	0	0	0	0	0
SPU_026192	10	16	12	11	11	6
ENSRNA022745773	0	0	0	0	0	0
SPU_020991	343	310	414	340	272	159
SPU_008262	30	41	39	48	43	27
SPU_000303	272	287	278	207	221	153
SPU_000304	11	11	6	7	15	11
SPU_021044	129	107	102	96	85	80
SPU_021046	439	499	484	423	285	252
ENSRNA022743386	0	0	0	0	0	0
SPU_002739	0	0	0	0	0	0
SPU_004111	0	0	0	0	0	0
SPU_026155	59	39	63	41	22	12
SPU_026156	2390	2159	2436	1879	1387	942
SPU_026157	640	626	692	683	588	532
SPU_015351	415	418	465	358	306	192
SPU_000365	0	1	0	0	0	0
SPU_006762	46	44	38	33	34	20
SPU_006761	14	15	13	7	5	19
SPU_024476	0	0	0	0	0	0
SPU_003895	4	4	4	1	0	4
SPU_003896	0	0	0	0	0	0
SPU_000665	0	0	0	0	0	0
SPU_023599	2163	2376	2465	2356	2461	2281
SPU_017010	0	0	0	0	0	0
SPU_023595	2	4	4	2	1	2
SPU_023596	77	92	86	104	64	48
SPU_023597	0	0	0	0	0	0
SPU_015711	0	0	0	0	0	0
SPU_023598	0	0	0	0	0	0
SPU_011503	0	0	0	0	0	0
SPU_006274	676	671	691	709	606	427
SPU_027154	0	1	1	0	0	1
SPU_025827	5	9	9	13	7	5
SPU_019667	1	3	4	0	1	1
SPU_027299	0	0	0	0	0	0
SPU_014048	0	0	0	0	0	0
SPU_023119	0	0	0	0	0	0
SPU_027960	175	172	157	125	82	199
ENSRNA022743404	0	0	0	1	0	1
SPU_014950	1	1	0	0	1	0
SPU_020701	105	74	93	84	74	53
SPU_001892	67	84	98	92	74	34
SPU_027775	7	10	2	8	5	4
SPU_022129	0	0	0	0	0	0
SPU_017134	272	217	213	1449	194	152
SPU_003363	27	30	20	23	25	13
SPU_003364	185	217	234	246	183	122
SPU_001703	14	30	47	42	20	13
SPU_003519	493	491	432	567	496	436
SPU_003518	94	85	112	123	81	64
SPU_003520	133	170	181	126	111	51
SPU_018724	539	512	556	387	325	158
SPU_020899	583	563	564	419	346	288
SPU_020898	1183	1143	1167	1565	1327	1197
SPU_002505	2	8	1	1	0	0
SPU_001672	139	174	171	170	113	119
ENSRNA022742589	2	0	0	0	0	0
SPU_001681	931	980	917	1127	993	971
SPU_001671	6	1	5	6	3	3
SPU_016531	0	0	0	0	0	0
SPU_009837	45	39	68	43	14	38
SPU_017226	2	0	8	4	3	2
SPU_017225	184	172	177	168	146	119
SPU_017572	54	84	61	59	72	63
SPU_003316	0	0	0	0	0	0
SPU_015253	0	0	0	0	0	0
SPU_015252	0	1	0	1	3	0
SPU_013913	120	160	174	193	146	88
SPU_013912	1173	1306	1239	1560	1480	1590
SPU_006971	142	127	145	120	91	54
SPU_006972	61	34	27	32	25	15
SPU_015462	57	65	61	66	46	53
SPU_007370	2	1	0	0	3	0
SPU_010330	5	16	7	3	2	4
SPU_007371	2	10	10	4	10	0
SPU_007372	22	19	17	7	7	5
SPU_010329	295	286	291	207	170	100
SPU_027902	7	9	15	3	8	6
SPU_027903	72	91	73	97	67	63
SPU_003512	0	1	0	2	0	0
SPU_003511	197	144	132	236	146	75
SPU_019155	1	0	0	0	0	0
SPU_001056	17	2	6	7	7	13
SPU_010236	0	0	0	0	0	0
SPU_006272	14	24	14	8	5	7
SPU_000574	119	143	162	160	139	136
SPU_013738	0	0	1	1	0	0
SPU_013739	77	68	91	102	83	51
SPU_013737	298	256	341	383	310	298
SPU_013736	2	5	3	23	30	25
SPU_003315	4	10	8	18	6	2
SPU_028724	14	8	18	12	12	5
SPU_028723	0	0	0	0	0	0
SPU_017856	0	0	0	0	2	0
SPU_017857	0	0	0	0	0	0
SPU_005020	0	3	0	0	0	0
SPU_028269	0	0	0	0	0	0
SPU_003707	0	0	0	0	0	0
ENSRNA022743720	0	0	0	0	0	0
SPU_023625	0	0	0	0	0	0
SPU_023626	41	49	60	41	29	25
SPU_009296	19	22	17	30	22	11
SPU_000593	2	8	3	10	7	2
SPU_018548	1	0	7	5	0	0
SPU_007673	69	86	109	51	38	43
SPU_027282	12	16	13	16	18	10
SPU_027448	40	36	43	35	43	21
SPU_008308	0	2	2	1	0	4
SPU_027449	0	0	0	0	0	0
SPU_027450	0	0	0	0	0	0
SPU_004314	327	318	341	550	366	382
SPU_017889	0	0	0	0	1	0
SPU_016159	0	1	0	0	1	2
ENSRNA022743645	0	0	0	0	0	0
SPU_005702	4115	4034	4442	3738	2546	1731
SPU_021218	47	8	11	52	15	25
SPU_008508	63	36	16	26	43	28
SPU_005312	37	50	42	43	25	19
SPU_023783	60	64	60	77	70	27
SPU_014001	0	0	0	0	0	0
SPU_023782	4347	5180	4787	5069	5137	4162
SPU_011081	0	0	0	0	0	0
SPU_023784	38	37	28	27	23	32
SPU_015271	104	127	118	107	70	67
SPU_023482	45	42	57	44	61	27
SPU_004539	0	0	0	2	0	1
SPU_021367	14	6	19	14	15	16
SPU_005035	135	131	135	147	147	142
SPU_021426	36	35	21	37	46	17
SPU_018797	80	73	100	73	53	67
SPU_003010	19	19	19	17	8	2
SPU_024464	71	80	62	64	55	37
SPU_006008	0	0	0	0	0	0
SPU_016352	51	47	82	48	51	40
SPU_016354	550	505	481	340	343	348
SPU_016353	12	12	15	3	5	9
SPU_026589	0	0	0	0	0	0
SPU_002138	0	0	0	0	0	0
SPU_008497	0	0	0	0	0	0
SPU_005758	0	0	0	0	0	0
SPU_013110	3	5	6	4	6	2
SPU_013072	19	20	23	17	13	19
SPU_021796	0	0	0	0	0	0
SPU_021428	1207	1370	1357	1078	871	726
SPU_015189	0	1	0	0	0	0
SPU_010003	27	24	35	19	19	17
SPU_019542	0	0	0	0	0	0
SPU_000125	0	0	0	0	0	0
ENSRNA022742583	0	0	0	0	0	0
ENSRNA022742577	0	0	0	0	0	0
ENSRNA022742580	0	0	0	0	0	0
SPU_014145	1854	2011	2033	2048	1745	1333
SPU_023526	84	89	88	105	87	61
SPU_021959	121	129	124	111	89	63
SPU_026762	0	0	0	0	0	0
SPU_014144	2	14	6	1	2	5
SPU_014146	0	0	1	2	0	0
SPU_014147	256	322	243	243	241	218
SPU_008170	125	93	113	78	62	59
SPU_012229	121	113	149	133	129	95
SPU_012228	4624	5017	4881	5057	4522	4248
SPU_010673	10593	11358	10260	12852	12151	11391
SPU_015610	0	0	0	0	0	0
SPU_010675	158	165	165	183	170	148
SPU_010674	27	30	24	13	8	8
SPU_016154	217	195	199	229	160	159
SPU_016157	0	0	0	0	0	0
SPU_016156	421	428	413	505	504	411
SPU_016155	71	69	70	103	63	56
SPU_019420	2084	2290	2178	2870	2422	2260
SPU_019421	0	0	2	4	2	0
SPU_004373	91	86	76	47	69	45
SPU_010026	377	314	325	247	181	106
SPU_010025	5	8	8	1	4	3
SPU_003213	403	360	442	404	326	238
SPU_016166	84	74	96	63	77	54
SPU_016169	16	16	12	24	10	6
SPU_009222	0	0	0	0	0	0
SPU_025194	0	0	0	0	0	0
SPU_018258	0	0	0	0	0	0
SPU_013187	0	0	0	0	0	0
SPU_013186	0	0	0	0	0	0
ENSRNA022743130	0	0	0	0	0	0
SPU_015519	0	3	1	2	0	0
SPU_015518	25	20	20	33	25	21
SPU_024757	6	0	3	1	0	2
SPU_021464	0	2	2	0	0	1
SPU_007090	0	0	0	2	0	0
SPU_007094	9	19	31	21	7	2
SPU_007093	0	1	0	0	0	1
SPU_023657	99	134	144	180	115	88
SPU_007092	1183	1254	1375	1450	1276	803
SPU_020279	0	0	0	0	0	0
SPU_008342	10	15	20	17	15	10
SPU_027111	160	140	133	166	189	128
SPU_020167	51	56	67	67	69	61
SPU_002346	1421	1481	1333	2274	1987	2009
SPU_024191	343	300	312	450	395	307
SPU_027640	0	0	1	0	0	1
SPU_027639	0	0	0	0	0	0
SPU_018859	0	0	2	0	0	0
ENSRNA022745742	0	0	0	0	0	0
SPU_016271	228	220	247	270	221	189
SPU_024428	1146	1168	1124	1224	1054	1044
SPU_027562	71	90	89	66	80	65
SPU_027565	2	2	4	1	3	1
SPU_027563	655	553	655	658	523	229
SPU_027564	0	0	0	0	0	0
SPU_016487	82	64	78	95	50	50
SPU_011042	52	49	44	35	30	35
SPU_013576	601	556	534	614	571	398
SPU_013577	242	225	298	257	222	115
SPU_013578	19	11	9	13	11	8
SPU_004826	26	22	32	16	9	11
SPU_004825	41	36	29	48	28	15
SPU_004496	3	12	2	0	4	1
SPU_004497	0	0	0	0	0	0
