	NN1	NN2	NN3	UU1	UU2	UU3
SPU_011199	177	189	214	158	161	120
SPU_021406	6	17	8	19	17	15
SPU_019319	37	25	37	25	18	16
SPU_019318	2	5	0	8	7	2
SPU_019317	990	979	935	1250	978	959
SPU_025578	379	381	413	435	420	332
SPU_025577	248	260	288	270	254	190
SPU_025941	82	70	70	88	82	54
SPU_021232	16	16	16	18	11	5
SPU_021228	140	165	144	77	61	79
SPU_021229	21	28	23	28	20	17
SPU_021231	55	71	58	81	55	37
SPU_024470	0	0	0	0	0	0
SPU_004774	426	427	457	607	565	428
SPU_021230	25	24	17	25	17	20
SPU_004776	31	32	45	31	27	14
SPU_004775	84	85	95	66	34	49
SPU_006670	127	131	189	123	92	80
SPU_006668	282	318	335	345	313	198
SPU_006669	0	0	0	0	0	0
SPU_008965	6	3	4	6	0	0
SPU_008352	25	30	15	33	18	10
SPU_008351	0	1	0	2	1	4
SPU_008966	339	349	348	278	221	166
SPU_008347	198	285	257	244	274	210
SPU_008350	175	210	192	223	234	213
SPU_008348	316	214	245	279	359	206
SPU_008349	173	153	180	190	149	140
SPU_019581	39	72	73	12	8	27
SPU_019579	55	54	64	43	31	26
SPU_019580	1755	1933	1767	2166	2022	1806
SPU_006106	46	26	75	60	62	42
SPU_006105	20	35	18	17	16	11
ENSRNA022743647	0	0	0	0	0	0
SPU_008926	326	318	345	312	243	130
SPU_006104	2892	2952	2881	2529	2271	1817
SPU_006107	35	43	34	22	11	6
SPU_006108	190	157	223	161	121	53
SPU_022041	121	116	179	130	80	45
SPU_022042	416	399	451	418	324	272
SPU_030189	0	0	0	0	0	0
SPU_006589	10	8	1	7	4	2
SPU_006590	79	72	98	104	94	94
SPU_006588	335	353	404	276	230	210
SPU_009273	1	2	1	1	1	0
SPU_009277	37	31	40	36	26	6
SPU_009274	23	31	27	30	18	13
SPU_009276	219	262	238	281	260	209
SPU_009275	148	217	196	325	280	306
SPU_018887	0	0	0	0	0	1
SPU_014987	0	0	0	0	0	0
SPU_017817	42	31	36	35	25	13
SPU_017818	370	387	367	487	386	376
SPU_017816	872	888	821	965	830	732
SPU_021511	1213	1357	1362	856	915	793
SPU_017820	194	197	193	222	253	210
SPU_017815	162	128	185	183	186	98
SPU_017814	5	9	9	14	6	3
SPU_021512	597	690	674	711	597	504
SPU_020806	11	13	18	11	8	4
