	fav_recoveryA	fav_recoveryB	fav_recoveryC	fav_stressA	fav_stressB	fav_stressC
isogroup101948	4	3	0	0	1	0
isogroup10195	0	0	0	0	0	0
isogroup101962	7	0	0	1	1	0
isogroup101965	0	5	0	0	0	0
isogroup101974	11	1	3	9	10	2
isogroup101995	1	0	0	0	0	0
isogroup1020	0	0	0	0	0	0
isogroup102004	1	0	0	1	0	0
isogroup102026	13	0	1	0	0	0
isogroup102027	2	0	0	0	0	0
isogroup102033	1	0	0	0	0	0
isogroup102062	0	0	0	0	1	0
isogroup102071	9	2	2	3	1	2
isogroup102078	106	27	47	32	33	2
isogroup102085	0	0	0	0	0	0
isogroup102087	156	7	83	20	9	4
isogroup10209	100	3	40	21	27	27
isogroup102091	1	0	0	0	0	0
isogroup102105	1	0	3	1	1	0
isogroup102113	26	1	11	5	0	5
isogroup102115	0	0	0	0	0	0
isogroup102116	1	0	0	0	0	0
isogroup102159	2	0	3	3	1	1
isogroup10216	7	1	0	0	4	0
isogroup102201	1	0	0	1	1	1
isogroup102206	0	0	0	0	0	0
isogroup10225	0	0	0	0	0	0
isogroup102265	0	0	0	0	0	0
isogroup102303	0	0	0	0	0	0
isogroup102313	0	0	0	0	0	0
isogroup102353	1	0	0	0	0	0
isogroup102370	60	1	31	15	8	7
isogroup1024	0	0	0	2	0	0
isogroup102401	0	0	1	0	0	0
isogroup102407	0	0	0	0	0	0
isogroup102408	3	0	0	0	0	0
isogroup102430	0	0	0	0	1	0
isogroup102438	7	1	7	2	0	0
isogroup102447	0	0	0	0	0	0
isogroup102449	0	0	0	0	0	0
isogroup102473	2	7	0	0	0	0
isogroup102480	10	0	17	10	1	0
isogroup102494	5	0	10	0	0	0
isogroup102497	0	0	0	0	0	0
isogroup10250	394	30	105	105	37	31
isogroup10253	14	1	1	0	2	0
isogroup102539	9	0	0	0	2	5
isogroup102555	9	0	1	1	1	4
isogroup102561	0	0	0	0	0	0
isogroup102565	0	0	0	0	0	0
isogroup102566	42	2	1	6	8	0
isogroup102576	4	1	0	0	0	0
isogroup102593	1	0	0	0	0	0
isogroup102638	42	2	7	9	3	3
isogroup102658	1	0	0	0	0	0
isogroup102685	0	0	0	0	0	0
isogroup10269	190	18	57	41	18	16
isogroup102695	0	0	0	0	0	0
isogroup102699	4	1	3	1	0	0
isogroup1027	0	0	0	0	0	0
isogroup102709	0	0	0	0	0	0
isogroup102715	17	0	2	1	0	0
isogroup102738	7	0	2	1	2	0
isogroup102747	114	25	29	86	45	13
isogroup102748	0	1	0	0	0	0
isogroup102752	0	0	0	0	2	0
isogroup102762	166	14	123	76	25	19
isogroup102767	0	0	0	0	1	0
isogroup102779	0	60	0	0	0	0
isogroup102812	0	0	0	0	0	0
isogroup102821	1	0	0	0	1	0
isogroup102830	7	0	0	0	0	0
isogroup102856	0	0	0	0	1	0
isogroup102874	9	0	1	2	1	0
isogroup102875	29	3	13	9	5	3
isogroup102881	236	84	71	54	34	30
isogroup102887	5	1	3	0	0	0
isogroup102894	6	0	1	3	0	0
isogroup102898	1	0	0	0	0	0
isogroup102899	0	0	0	0	0	0
isogroup102908	5	2	7	8	2	0
isogroup102925	0	0	0	0	0	0
isogroup102934	0	0	0	0	0	0
isogroup102939	1	0	0	0	0	0
isogroup102945	13	1	32	19	3	0
isogroup102948	0	0	0	0	0	0
isogroup102984	10	1	0	5	0	0
isogroup10299	79	3	12	6	17	3
isogroup1030	11	2	5	3	1	0
isogroup103025	0	1	0	0	0	0
isogroup103046	0	0	5	0	0	0
isogroup103059	35	3	20	7	3	5
isogroup103061	1	0	0	0	0	0
isogroup103063	0	0	0	0	0	0
isogroup103086	2	0	0	0	0	0
isogroup103099	11	1	15	7	0	3
isogroup1031	3	0	3	0	1	0
isogroup103117	13	0	0	0	0	0
isogroup103125	26	0	3	5	2	0
isogroup103158	132	9	20	33	19	10
isogroup103160	0	0	0	0	0	0
isogroup103165	0	0	0	0	0	0
isogroup103198	17	0	0	0	2	0
isogroup103227	1	0	0	1	0	0
isogroup103236	3	0	0	0	0	0
isogroup103258	18	0	0	3	10	0
isogroup103263	0	0	0	0	0	0
isogroup103264	0	0	0	1	0	0
isogroup10328	13	0	3	0	4	0
isogroup103283	0	0	0	0	0	0
isogroup10329	45	0	33	20	7	18
isogroup103293	1	0	0	0	0	0
isogroup103342	6	3	1	0	0	0
isogroup103346	4	0	0	1	0	0
isogroup103373	2	0	0	0	0	0
isogroup1034	45	0	10	10	5	2
isogroup103401	0	0	0	0	0	0
isogroup103413	4	0	0	1	3	0
isogroup103414	0	0	0	0	0	0
isogroup103415	1	0	0	0	0	0
isogroup103425	2	0	3	1	0	0
isogroup103459	6	5	0	0	0	0
isogroup103460	7	0	2	15	6	1
isogroup103471	0	0	0	0	0	0
isogroup103473	2	0	0	0	0	0
isogroup103479	0	0	0	0	0	0
isogroup103483	1	0	15	0	0	0
isogroup103488	1	0	0	1	0	0
isogroup103493	0	0	0	0	0	0
isogroup103504	72	0	15	10	5	14
isogroup103520	1	0	1	1	0	0
isogroup103525	3	3	0	0	2	0
isogroup103542	0	0	0	0	0	0
isogroup103552	1	0	0	2	0	0
isogroup103558	0	0	0	0	0	0
isogroup103571	0	0	0	0	0	0
isogroup10358	0	0	0	0	0	0
isogroup103609	3	0	0	0	0	2
isogroup103616	19	1	0	3	0	0
isogroup103674	0	0	0	0	0	0
isogroup103675	0	0	0	0	0	0
isogroup103676	1	0	0	1	0	0
isogroup10368	97	3	20	23	5	4
isogroup103693	72	6	37	28	16	3
isogroup103697	27	0	23	26	8	0
isogroup103721	9	2	0	2	0	0
isogroup103724	0	0	4	0	0	0
isogroup103747	8	0	0	1	0	5
isogroup103754	2	0	2	0	0	0
isogroup103791	3	0	4	1	0	0
isogroup103817	0	0	2	0	0	0
isogroup103820	2	0	0	1	0	0
isogroup103830	43	11	44	25	7	4
isogroup103832	0	0	0	0	0	0
isogroup103844	10	1	0	0	0	0
isogroup103854	1	0	0	0	0	0
isogroup103859	40	2	21	9	5	2
isogroup103870	0	0	0	0	0	0
isogroup103907	4	0	0	1	0	0
isogroup103936	0	0	0	0	0	0
isogroup103942	0	0	0	0	0	0
isogroup103968	0	0	0	0	0	0
isogroup10397	1	1	0	0	1	0
isogroup103994	0	3	0	0	0	0
isogroup104029	0	0	0	0	0	0
isogroup104032	0	0	0	0	0	0
isogroup10404	12	2	6	4	1	2
isogroup10406	0	0	0	0	0	0
isogroup104069	0	0	1	0	0	0
isogroup10407	31	1	41	0	61	0
isogroup104078	38	7	8	14	12	1
isogroup104081	3	0	0	0	0	0
isogroup104099	4	0	1	1	2	0
isogroup104100	0	0	0	0	0	0
isogroup104111	2	0	0	0	0	0
isogroup10412	657	111	295	242	53	61
isogroup104147	1	0	0	0	0	0
isogroup104171	1	0	0	0	0	0
isogroup104190	0	0	0	0	3	0
isogroup104193	46	18	21	16	6	3
isogroup104207	1	1	3	1	0	0
isogroup10422	595	2	10	6	30	0
isogroup104266	4	0	1	0	0	0
isogroup104271	0	0	0	0	0	0
isogroup104281	0	0	0	0	0	0
isogroup104300	1	1	2	1	0	0
isogroup104306	1	0	0	0	0	0
isogroup104321	169	68	84	61	30	21
isogroup104343	32	0	18	2	3	4
isogroup104350	110	7	137	55	37	8
isogroup104360	1	0	0	0	0	0
isogroup104367	2	0	0	0	0	0
isogroup104370	0	0	0	0	0	0
isogroup104375	2	0	0	0	0	0
isogroup104403	0	0	0	0	0	0
isogroup104409	0	0	0	0	0	0
isogroup104417	3	1	0	1	0	0
isogroup104422	0	0	0	1	0	0
isogroup104429	0	0	0	0	1	0
isogroup104463	5	2	0	1	1	0
isogroup104475	0	0	1	0	0	0
isogroup104490	0	0	0	0	0	0
isogroup104495	3	0	0	3	7	3
isogroup104510	0	0	0	0	0	0
isogroup104538	3	0	0	0	0	0
isogroup104548	1	0	0	0	0	0
isogroup104582	5	4	1	2	0	0
isogroup104600	3	1	0	0	0	0
isogroup104601	0	0	0	0	0	0
isogroup104610	0	1	0	0	0	0
isogroup104634	0	0	0	0	0	0
isogroup104652	75	0	23	37	13	28
isogroup104662	0	1	1	3	4	0
isogroup104667	0	0	0	0	1	0
isogroup104674	2	0	0	0	0	0
isogroup104694	0	0	0	0	0	0
isogroup104722	9	0	3	3	2	0
isogroup104723	1	0	0	0	0	0
isogroup104725	0	0	1	1	1	0
isogroup104748	0	0	0	0	0	0
isogroup10475	8	0	0	11	0	0
isogroup104769	1	0	0	0	0	0
isogroup104772	1	0	0	0	1	0
isogroup104778	0	0	0	0	0	0
isogroup104780	2	0	1	3	0	7
isogroup104789	0	0	0	0	0	3
isogroup104822	0	0	0	0	0	0
isogroup104824	29	0	2	26	3	4
isogroup104831	1	0	0	0	0	0
isogroup104842	29	0	1	8	6	6
isogroup104855	1	0	0	0	0	0
isogroup104858	1	1	0	0	0	0
isogroup104859	1	0	0	0	0	0
isogroup10487	0	0	0	0	0	0
isogroup104876	0	0	0	0	0	0
isogroup104882	0	0	0	0	0	0
isogroup104887	8	1	0	0	0	0
isogroup104895	0	0	0	0	0	0
isogroup104915	0	0	0	0	0	0
isogroup104949	22	0	10	0	4	0
isogroup104960	21	0	10	4	1	0
isogroup104964	0	0	3	0	0	0
isogroup10498	41	1	10	14	9	2
isogroup104988	1	0	0	3	0	0
isogroup105	4	2	14	0	0	0
isogroup105006	15	0	3	3	1	4
isogroup105023	8	1	3	2	2	4
isogroup105028	1	0	10	0	1	0
isogroup105029	48	6	31	21	17	7
isogroup105043	4	0	0	0	1	0
isogroup105071	0	0	0	0	0	0
isogroup105080	29	1	21	7	4	2
isogroup105095	7	0	10	5	0	0
isogroup105097	3	0	0	0	0	0
isogroup105121	35	0	14	13	2	6
isogroup105132	0	0	0	0	0	0
isogroup105149	4	0	0	3	1	1
isogroup105152	36	4	8	6	7	0
isogroup1052	6	0	0	2	0	0
isogroup105203	0	0	0	0	0	0
