,Control_1,Hot_1,Control_2,Hot_2
isogroup23779,53,0,98,1
isogroup237792,133,555,174,657
isogroup237793,31,228,40,214
isogroup237810,108,895,77,342
isogroup237816,18,49,19,98
isogroup237821,12,73,14,63
isogroup237825,9,116,6,116
isogroup237827,219,1017,232,1129
isogroup237830,4,35,8,20
isogroup237832,15,157,24,88
isogroup237833,833,3955,1677,4902
isogroup237835,283,1163,406,1648
isogroup237836,44,379,45,376
isogroup237849,83,555,108,566
isogroup237851,13,43,7,40
isogroup237854,88,483,106,492
isogroup237868,9,46,14,42
isogroup237872,85,278,125,441
isogroup237874,27,193,29,203
isogroup237875,17,119,36,92
isogroup237879,15,78,15,84
isogroup237883,90,541,71,422
isogroup237888,108,2,90,0
isogroup237908,18,90,19,148
isogroup237912,15,170,18,146
isogroup237920,8,85,8,85
isogroup237930,1,1,54,0
isogroup237934,525,6,657,2
isogroup237935,8,38,13,22
isogroup237938,2841,11368,4509,14677
isogroup237947,33,137,34,149
isogroup237964,3,24,4,19
isogroup237968,16,0,15,0
isogroup237972,31,189,20,165
isogroup237978,24,212,28,236
isogroup237981,230,926,297,1088
isogroup237988,77,441,117,497
isogroup237994,2,0,5,0
isogroup237995,163,1058,218,1273
isogroup238007,105,638,123,768
isogroup238011,5,136,9,125
isogroup238014,9,33,4,22
isogroup238020,656,2540,540,2683
isogroup238026,6,27,8,29
isogroup238029,86,453,42,248
isogroup238043,29,207,14,118
isogroup238060,8,53,13,55
isogroup238068,16,50,15,49
isogroup238073,62,198,64,163
isogroup238077,53,191,103,374
isogroup238080,7250,35193,10497,44113
isogroup238090,32,234,22,210
isogroup238091,100,557,144,654
isogroup238096,50,184,41,179
isogroup238100,57,0,72,1
isogroup238102,269,440,27,212
isogroup238108,72,74,111,138
isogroup238109,61,294,60,294
isogroup238111,71,559,89,486
isogroup238117,98,547,65,534
isogroup238121,11,56,3,43
isogroup238124,68,3446,197,683
isogroup238135,76,615,105,475
isogroup238141,24,118,35,186
isogroup238144,115,585,163,610
isogroup238146,216,0,425,0
isogroup238147,609,2573,808,3161
isogroup238153,22,185,24,194
isogroup238157,60,334,72,338
isogroup238160,1134,5766,1611,7035
isogroup238161,1,40,3,50
isogroup238166,814,5689,2035,8289
isogroup238171,113,541,149,753
isogroup238174,8,39,5,28
isogroup238177,609,3920,821,3948
isogroup238180,114,725,120,735
isogroup238191,22,140,12,107
isogroup238195,41,262,50,292
isogroup238204,84,647,73,470
isogroup238208,4,37,2,120
isogroup238212,6,31,8,53
isogroup238219,240,1431,397,1883
isogroup238224,202,1551,339,1626
isogroup238230,5,71,18,82
isogroup238232,71,591,39,437
isogroup238233,8,50,19,51
isogroup238236,4,153,17,54
isogroup238238,138,2190,281,574
isogroup238243,312,2258,470,3348
isogroup238246,357,1964,515,2585
isogroup238250,22,32,12,24
isogroup238252,4,24,5,13
isogroup238254,14,76,20,102
isogroup238257,93,491,57,434
isogroup238259,19,339,20,432
isogroup238263,15,0,8,0
isogroup238265,892,1257,1126,1182
isogroup238273,6,27,4,16
isogroup238274,99,705,154,753
isogroup238276,26,89,24,104
isogroup238280,744,3855,1076,4595
isogroup238286,10,13,6,23
isogroup238301,1041,5574,1465,6946
isogroup238302,9,110,27,101
isogroup238308,474,901,486,1633
isogroup238310,29,230,15,157
isogroup238318,46,278,68,346
isogroup238320,7,54,8,25
isogroup238329,248,683,221,687
isogroup238339,112,321,81,514
isogroup238342,975,2499,4615,1315
isogroup238344,2,35,7,24
isogroup238360,0,3,2,3
isogroup238370,171,990,249,1306
isogroup238371,97,783,68,417
isogroup238393,23,76,19,116
isogroup238400,2827,15584,4192,20328
isogroup238412,199,1651,315,1564
isogroup238431,48,255,62,291
isogroup238436,247,643,318,492
isogroup238455,59,343,96,446
isogroup238456,324,5,338,1
isogroup238462,7,28,6,39
isogroup238469,93,599,108,605
isogroup238471,94,479,85,474
isogroup238481,186,1120,158,995
isogroup238485,111,435,165,468
isogroup238486,2,29,9,39
isogroup238488,91,685,112,661
isogroup238491,4,155,10,25
isogroup238493,238,6,297,0
isogroup238494,382,1550,455,1593
isogroup238503,37,242,41,215
isogroup238506,97,461,177,606
isogroup238509,131,845,85,649
isogroup238519,15,43,12,82
isogroup238523,8,52,11,59
isogroup238524,382,1621,383,1726
isogroup238526,3,39,2,46
isogroup238536,4,31,9,42
isogroup238539,184,833,248,1042
isogroup238542,138,926,206,1177
isogroup238553,116,680,134,705
isogroup238566,5,44,5,28
isogroup238570,30,152,42,156
isogroup238580,120,827,92,766
isogroup238584,18,94,15,109
isogroup238586,1,81,1,82
isogroup238596,19,84,11,86
isogroup238613,53,160,56,123
isogroup238617,229,3810,417,3464
isogroup238618,13,69,4,70
isogroup238620,88,366,106,500
isogroup238627,6,32,6,35
isogroup238637,413,1896,643,2246
isogroup238641,13,23,28,46
isogroup238643,188,9,181,1
isogroup238645,142,579,143,758
isogroup238649,60,351,114,463
isogroup238650,97,335,106,445
isogroup238662,5,85,5,189
isogroup238666,12,72,28,119
isogroup238668,274,1384,327,1566
isogroup238671,22,145,39,151
isogroup238672,45,336,45,333
isogroup238679,31,120,102,206
isogroup238680,300,1351,462,1837
isogroup238684,189,141,210,48
isogroup238687,91,573,90,429
isogroup238688,1234,8903,1940,14204
isogroup238689,8,37,2,44
isogroup238697,134,612,229,659
isogroup238702,88,658,135,734
isogroup238717,22,28,35,47
isogroup238719,99,526,187,630
isogroup238720,27,262,49,296
isogroup238724,7,82,9,78
isogroup238727,104,773,64,593
isogroup238732,59,240,73,350
isogroup238733,57,369,35,412
isogroup238734,30,268,33,209
isogroup238741,27,162,24,99
isogroup238759,448,2034,742,2468
isogroup238769,229,1130,341,1337
isogroup238775,17,40,8,35
isogroup238777,10,137,4,52
isogroup238778,83,479,131,520
isogroup238780,42,317,84,334
isogroup238783,88,431,65,395
isogroup238789,6,86,9,49
isogroup238792,16,137,7,98
isogroup238796,4,50,2,17
isogroup238815,59,301,103,310
isogroup238819,14,110,17,124
isogroup238827,180,960,244,1090
isogroup238836,197,641,450,953
isogroup238844,374,2220,531,2521
isogroup238845,24,102,15,94
isogroup238849,186,781,253,928
isogroup238853,241,1191,341,1378
isogroup238857,54,172,55,135
isogroup238866,39,222,146,553
isogroup238870,6,46,3,36
isogroup238871,79,462,124,530
isogroup238878,13,39,13,65
isogroup238879,109,523,201,820
isogroup238883,12,113,11,86
isogroup238891,20,91,9,79
isogroup238894,52,203,88,289
isogroup238895,0,4,1,0
isogroup238897,455,2183,775,2941
isogroup238902,50,238,50,248
isogroup238904,116,813,96,771
isogroup238907,412,2146,596,2546
isogroup238911,9,331,12,218
isogroup238914,76,566,45,532
isogroup238922,5,20,4,16
isogroup23893,7,412,24,69
isogroup238930,2,0,1,0
isogroup238935,177,1063,288,1089
isogroup238937,551,3265,713,4107
isogroup238939,45,350,54,384
isogroup238942,56,339,46,270
isogroup238951,109,346,167,603
isogroup238952,801,3903,1072,4390
isogroup238957,50,514,54,455
isogroup238967,20,112,29,136
isogroup238972,4,35,8,37
isogroup238977,3275,22708,5439,32326
isogroup238988,148,705,191,777
isogroup238989,176,1617,112,490
isogroup238991,27,123,27,145
isogroup239001,23,151,36,168
isogroup239005,1,1,1,2
isogroup239011,211,923,288,1105
isogroup239015,39,184,33,184
isogroup239018,38,366,31,260
isogroup239019,16,579,15,306
isogroup239020,227,2174,348,2173
isogroup239023,6,62,8,58
isogroup239026,140,497,170,514
isogroup239030,146,942,216,967
isogroup239032,193,223,334,499
isogroup239033,23,142,17,154
isogroup239051,123,505,179,591
isogroup239052,149,908,189,829
isogroup239056,16,144,19,125
isogroup239068,65,437,129,452
isogroup239077,25,206,27,215
isogroup239078,38,1,63,0
isogroup239080,222,6,348,2
isogroup239083,2433,23,1938,3
isogroup239085,37,106,33,152
isogroup239089,120,655,188,739
isogroup239108,2329,10403,3799,12679
isogroup239118,23,154,18,134
isogroup239121,49,180,47,232
isogroup239122,35,121,7,156
isogroup239124,14,78,8,83
isogroup239130,370,2186,428,2192
isogroup239134,138,5,196,1
isogroup239137,102,2,91,0
isogroup239142,156,957,264,1016
isogroup239148,20,243,17,171
isogroup239153,43,203,67,265
isogroup239157,49,275,42,339
isogroup239159,9,87,30,73
isogroup239160,307,1720,549,2059
isogroup239174,33,60,30,42
isogroup239176,15,39,4,31
isogroup239178,6,11,3,32
isogroup239179,217,1125,350,1498
isogroup239183,8,53,9,44
isogroup239186,0,21,15,32
isogroup239191,52,223,62,204
isogroup239194,20,85,9,39
isogroup239197,15,89,7,55
isogroup239205,6,30,6,36
isogroup239214,121,619,166,793
isogroup239220,26,52,51,55
isogroup239221,13,115,31,136
isogroup239227,138,596,167,717
isogroup239234,29,121,45,169
isogroup239235,24,273,55,391
isogroup239236,77,223,72,278
isogroup239246,63,419,91,379
isogroup239250,62,282,81,354
isogroup239254,273,1524,408,1766
isogroup239255,337,1628,462,1924
isogroup239257,30,80,13,82
isogroup239258,30,163,34,186
isogroup239259,254,1229,252,977
isogroup239261,112,725,232,826
isogroup239262,8,26,3,17
isogroup239275,31,160,40,227
isogroup239281,35,151,26,174
isogroup239282,23,83,24,81
isogroup239293,82,303,76,363
isogroup239311,27,149,7,31
isogroup239319,176,890,291,1124
isogroup239336,0,2,0,2
isogroup239342,3,12,0,10
isogroup239343,206,1471,211,1655
isogroup239346,128,760,211,755
isogroup239349,101,1055,83,816
isogroup239353,8,30,5,35
isogroup239358,151,915,184,891
isogroup239365,103,274,80,232
isogroup239369,11,33,8,29
isogroup239373,8,162,6,111
isogroup239384,195,2,188,0
isogroup239385,174,954,234,1082
isogroup239392,230,5,206,1
isogroup239418,8,13,4,17
isogroup239420,6,16,8,29
isogroup239421,79,308,92,432
isogroup239422,35,110,47,185
isogroup239424,7,56,9,44
isogroup239428,93,240,129,304
isogroup239432,12,77,3,54
isogroup239447,389,4489,635,1862
isogroup239450,37,139,43,234
isogroup239454,1,33,15,27
isogroup239456,0,0,1,0
isogroup239461,5386,25650,5636,25556
isogroup239464,406,2169,655,2764
isogroup239467,37,258,44,171
isogroup239474,248,1309,317,1442
isogroup239480,194,1436,255,1666
isogroup239481,20,284,18,291
isogroup239484,73,370,106,521
isogroup239490,38,314,88,309
isogroup239493,123,772,133,653
isogroup239499,8,30,0,8
isogroup239502,22,33,40,55
isogroup239513,33,189,63,268
isogroup239516,63,211,71,291
isogroup239520,70,399,130,426
isogroup239526,164,878,194,828
isogroup239529,44,170,26,201
isogroup239534,124,472,140,602
isogroup239538,397,4038,430,4151
isogroup239546,12,84,3,82
isogroup239547,63,587,129,152
isogroup239549,7,48,6,28
isogroup239554,1,22,6,14
isogroup239555,79,374,152,605
isogroup239566,10,36,9,22
isogroup239570,371,2300,452,2242
isogroup239574,570,2946,823,3448
isogroup239588,10,90,9,96
isogroup239591,652,4905,951,6472
isogroup239593,10,93,6,43
isogroup239601,262,5,325,0
isogroup239604,11,71,13,58
isogroup239611,1100,37,994,4
isogroup239613,101,862,65,661
isogroup239614,39,136,52,184
isogroup239621,61,240,97,329
isogroup239631,243,1467,543,1913
isogroup239644,54,281,67,315
isogroup239647,5,35,11,102
isogroup239650,135,1225,228,1374
isogroup239657,676,5051,1050,6391
isogroup239665,56,185,38,199
isogroup239670,111,964,153,816
isogroup239671,3,17,0,6
isogroup239674,23,26,29,30
isogroup239686,4,34,4,58
isogroup239691,85,478,128,521
isogroup239694,202,1065,252,1041
isogroup239695,17,122,29,126
isogroup239697,5,45,6,25
isogroup239700,109,512,86,459
isogroup239701,61,394,75,524
isogroup239702,449,1697,577,1669
isogroup239712,26,155,31,156
isogroup239720,4,91,4,30
isogroup239726,777,4435,832,4586
isogroup239735,81,581,73,532
isogroup239736,3,19,12,4
isogroup239740,24,77,38,102
isogroup239741,21,100,14,85
isogroup239755,188,934,152,883
isogroup239758,22,115,11,131
isogroup239759,83,399,70,460
isogroup239762,56,27,47,45
isogroup239769,11,90,24,114
isogroup239772,78,507,73,462
isogroup239773,66,488,78,450
isogroup239775,1104,7345,1618,6972
isogroup239783,248,1352,370,1532
isogroup239784,89,0,94,1
isogroup239785,10,39,5,32
isogroup239788,1223,6079,1334,6774
isogroup239791,191,1541,194,1465
isogroup239803,177,826,327,1170
isogroup239807,74,376,81,338
isogroup239816,145,585,333,1034
isogroup239823,270,973,409,1111
isogroup239830,18,100,26,78
isogroup239837,81,437,72,416
isogroup239845,44,226,66,331
isogroup239846,15,80,22,135
isogroup239862,15,109,15,108
isogroup239870,14,54,9,77
isogroup239871,10,87,11,128
isogroup239872,118,784,131,747
isogroup239886,71,337,102,513
isogroup239887,747,4118,1071,4774
isogroup239890,88,606,138,715
isogroup239892,895,5078,1501,4261
isogroup239897,52,401,78,415
isogroup239900,516,10,465,2
isogroup239903,19,71,48,101
isogroup239910,83,294,96,268
isogroup239913,23,182,48,322
isogroup239915,20,125,16,126
isogroup239922,16,32,14,55
isogroup239927,5,10,2,22
isogroup239936,140,0,103,0
isogroup239941,1330,1166,1867,1186
isogroup239952,1256,6868,1690,4875
isogroup239957,458,2682,528,3136
isogroup239958,20,167,20,128
isogroup239967,65,657,102,748
isogroup239969,3,58,8,46
isogroup23997,0,13,0,21
isogroup239978,11,106,12,61
isogroup239993,94,3,117,0
isogroup239997,46,3,104,1
isogroup240006,259,928,532,1646
isogroup240007,40,223,89,292
isogroup240015,20,97,12,92
isogroup240017,475,2960,766,3916
isogroup240019,85,427,36,320
isogroup240021,393,940,351,974
isogroup240023,171,671,139,561
isogroup24004,1,6,1,0
isogroup240057,101,847,106,687
isogroup240064,2,71,5,67
isogroup240071,165,1068,251,1188
isogroup240072,107,936,179,955
isogroup240074,11,85,13,97
isogroup240076,48,35,61,34
isogroup240084,27,118,20,96
isogroup240085,715,4660,951,4848
isogroup240091,3,20,9,10
isogroup240095,9,17,8,42
isogroup240096,24,25,36,31
isogroup24010,126,618,149,141
isogroup240100,19,94,23,77
isogroup240101,113,259,119,265
isogroup240106,29,38,2,11
isogroup240117,53,296,90,369
isogroup240120,109,283,166,459
isogroup240131,322,1613,419,1845
isogroup240133,14,63,7,58
isogroup240136,51,358,71,417
isogroup240138,12,21,15,35
isogroup240139,7,159,36,67
isogroup240141,53,345,84,307
isogroup240143,502,25,530,8
isogroup240145,1,70,9,17
isogroup240148,20,34,5,44
isogroup240155,459,2357,725,3222
isogroup240159,49,265,67,347
isogroup240168,457,18,409,4
isogroup240169,59,262,41,210
isogroup240170,147,819,128,869
isogroup240180,15,128,11,113
isogroup240182,805,6364,1019,8010
isogroup240192,183,695,184,801
isogroup240196,19,127,30,139
isogroup240201,7,78,26,99
isogroup240209,62,390,49,331
isogroup240210,109,555,89,499
isogroup240215,4,47,5,36
isogroup240234,105,115,123,134
isogroup240237,5,19,9,38
isogroup240241,84,552,66,469
isogroup240248,27,129,41,225
isogroup240249,83,485,107,492
isogroup240260,18,91,23,165
isogroup240267,22,141,13,119
isogroup240268,653,4131,945,4707
isogroup240272,153,1266,183,1174
isogroup240273,97,562,159,606
isogroup240284,20,118,14,78
isogroup240289,47,231,86,278
isogroup240290,115,739,164,876
isogroup240294,76,511,80,366
isogroup240296,100,622,93,636
isogroup240299,212,1011,270,1276
isogroup240307,187,643,161,712
isogroup240310,25,75,16,73
isogroup240313,21,94,19,101
isogroup240316,17,85,34,99
isogroup240322,150,225,215,321
isogroup240323,2331,12664,3773,16593
isogroup240325,121,733,157,761
isogroup240330,6,42,5,43
isogroup240332,12,34,26,31
isogroup240338,26,45,25,90
isogroup240347,113,581,202,801
isogroup240348,23,137,15,98
isogroup240351,13,113,21,67
isogroup240357,63,487,77,537
isogroup240363,110,715,117,585
isogroup240365,6,56,4,29
isogroup240382,13,84,34,91
isogroup240387,11,136,21,150
isogroup240403,75,472,44,335
isogroup240410,178,1108,242,1072
isogroup240412,321,2109,367,1827
isogroup240415,36,235,24,133
isogroup240416,29,143,49,215
isogroup240421,131,620,297,923
isogroup240422,17,70,13,45
isogroup240431,4,17,2,25
isogroup240440,10,52,9,47
isogroup240453,240,618,357,913
isogroup240471,93,464,147,675
isogroup240477,23,106,32,113
isogroup240482,31,176,37,161
isogroup240484,11,23,16,18
isogroup240492,439,5,389,2
isogroup240498,85,414,160,470
isogroup240505,203,1639,327,2078
isogroup240508,85,685,124,688
isogroup240513,7,79,8,63
isogroup240515,148,3589,133,3224
isogroup240521,78,448,138,466
isogroup240522,82,401,112,488
isogroup240526,220,1083,325,1533
isogroup24053,111,5,114,1
isogroup240531,1617,9273,2444,10583
isogroup240533,11,0,14,0
isogroup240538,16,118,32,147
isogroup240541,32,174,42,222
isogroup240544,207,662,240,638
isogroup240547,105,684,164,678
isogroup240554,59,367,54,304
isogroup240556,993,5222,1313,5724
isogroup240564,532,3198,712,2722
isogroup240571,64,394,33,287
isogroup240574,123,670,134,695
isogroup240586,37,161,24,180
isogroup240588,8,17,3,1
isogroup240589,374,752,375,635
isogroup240599,6,98,7,81
isogroup240603,40,472,35,298
isogroup240611,576,2690,732,2828
isogroup240613,29,262,21,137
isogroup240619,31,151,37,110
isogroup240620,120,916,171,1111
isogroup240622,9,26,22,65
isogroup240625,105,646,119,726
isogroup240627,10,57,6,56
isogroup240630,76,340,128,390
isogroup240631,71,436,33,317
isogroup240632,982,3447,1152,3704
isogroup240636,14,61,6,55
isogroup240639,21,94,20,165
isogroup240642,13,80,6,57
isogroup240646,17,105,14,143
isogroup240647,64,503,109,526
isogroup240648,42,195,31,154
isogroup240652,37,375,70,314
isogroup240659,92,505,109,681
isogroup240660,4,25,10,22
isogroup240664,23,109,32,125
isogroup240666,45,540,41,445
isogroup240669,29,217,31,327
isogroup240672,17,54,13,43
isogroup240678,43,109,60,199
isogroup240680,103,668,123,665
isogroup240682,94,469,99,494
isogroup240685,21,117,27,122
isogroup240696,74,5,90,6
isogroup240697,2,48,0,65
isogroup240704,64,509,111,620
isogroup240713,2,26,6,22
isogroup240715,17,139,32,150
isogroup240720,73,648,164,1020
isogroup240723,6,109,1,55
isogroup240724,7,2,4,10
isogroup240729,2,50,3,25
isogroup240738,126,663,280,991
isogroup240742,180,930,267,1129
isogroup240746,464,1247,446,1332
isogroup240749,182,1017,131,989
isogroup240752,6,52,8,51
isogroup240757,340,1685,424,1818
isogroup240760,251,1324,448,1529
isogroup240761,52,428,44,443
isogroup240765,112,627,182,721
isogroup240777,44,210,62,127
isogroup240778,6,62,16,64
isogroup240779,62,632,108,706
isogroup240782,81,364,101,358
isogroup240783,83,402,114,478
isogroup240790,70,460,75,422
isogroup240802,50,289,45,277
isogroup240811,22,199,19,65
isogroup240813,21,336,34,369
isogroup240818,111,613,184,703
isogroup240830,54,470,35,333
isogroup240831,103,660,148,850
isogroup240837,8,27,4,31
isogroup240838,111,201,195,348
isogroup240841,85,418,98,474
isogroup240843,17,82,36,139
isogroup240844,50,309,26,218
isogroup240849,13,46,9,47
isogroup240851,59,379,43,428
isogroup240852,7,75,16,106
isogroup240861,190,1144,331,1461
isogroup240863,305,1670,383,1994
isogroup240865,104,431,136,496
isogroup240876,77,470,63,439
isogroup240877,62,353,87,387
isogroup240887,1187,1998,793,1683
isogroup240893,76,524,103,592
isogroup240899,69,152,101,300
isogroup240901,276,1323,353,1628
isogroup240903,6,21,1,36
isogroup240921,173,1178,325,1450
isogroup240924,10,77,5,23
isogroup240928,10,59,14,51
isogroup240931,34,121,8,43
isogroup240932,253,1623,347,1714
isogroup240936,2,6,3,12
isogroup240937,67,230,88,275
isogroup240941,76,348,155,559
isogroup240948,1291,6450,1857,7373
isogroup240955,291,1507,357,1718
isogroup240964,85,466,84,389
isogroup240965,38,174,35,217
isogroup240971,45,245,44,254
isogroup240973,47,362,100,418
isogroup240980,6,150,12,121
isogroup240988,955,2738,1209,2918
isogroup240991,87,576,100,589
isogroup240992,16,138,11,95
isogroup240994,1,0,1,0
isogroup240995,81,134,111,260
isogroup240999,22,88,19,99
isogroup241000,808,431,836,552
isogroup241004,1,33,4,34
isogroup241015,23,96,32,90
isogroup241028,5,46,4,29
isogroup241039,116,507,157,586
isogroup241042,27,164,25,184
isogroup241043,89,388,165,519
isogroup241049,107,608,85,377
isogroup241066,197,1153,312,1552
isogroup241073,56,586,80,507
isogroup241078,37,148,88,205
isogroup241079,117,810,171,924
isogroup241090,256,995,361,1430
isogroup241091,3,59,6,36
isogroup241092,70,315,81,368
isogroup241097,21,72,45,95
isogroup241102,46,394,68,446
isogroup241103,128,1022,197,1227
isogroup241105,25,27,24,21
isogroup241109,14,92,16,64
isogroup241111,54,288,32,362
isogroup241112,38,279,20,275
isogroup241113,300,2014,442,2093
isogroup241114,115,348,161,394
isogroup241117,111,648,158,804
isogroup241128,240,1572,308,1720
isogroup241140,60,170,113,489
isogroup241141,53,347,118,624
isogroup241142,329,793,522,1496
isogroup241167,516,3227,580,3492
isogroup241174,52,160,83,609
isogroup241178,488,1660,604,2029
isogroup241179,34,206,37,271
isogroup241184,155,901,200,1024
isogroup241185,1855,11779,2704,13780
isogroup241188,157,820,202,915
isogroup241190,1480,9193,1959,11459
isogroup241194,4,43,7,44
isogroup241198,114,512,169,520
isogroup241199,3,19,14,42
isogroup241204,13,39,23,30
isogroup241211,26,187,56,227
isogroup241213,571,5068,523,6256
isogroup241214,344,6,339,2
isogroup241216,3,25,5,16
isogroup241221,19,154,24,115
isogroup241223,246,1325,322,1636
isogroup241231,198,1178,348,1551
isogroup241239,20,64,8,35
isogroup241255,4859,41926,6731,46863
isogroup241258,1115,6566,2023,6208
isogroup241260,8,51,27,54
isogroup241262,12,56,33,61
isogroup241263,24,157,16,145
isogroup241265,11,73,9,52
isogroup241269,10,0,17,0
isogroup241277,60,407,117,549
isogroup241281,31,150,61,195
isogroup241288,148,1327,236,1341
isogroup241289,803,2939,1079,4015
isogroup241295,39,211,61,262
isogroup241296,84,464,44,357
isogroup241298,309,1823,420,2383
isogroup241301,67,304,62,376
isogroup241319,171,723,296,889
isogroup241324,19,176,39,202
isogroup241329,14,99,17,125
isogroup241332,95,603,96,647
isogroup241336,13,29,3,12
isogroup241342,7,35,24,48
isogroup241349,35,250,61,300
isogroup241351,120,720,188,922
isogroup241352,643,3896,778,4378
isogroup241356,253,1209,226,1051
isogroup241359,171,788,284,1021
isogroup241365,383,2735,349,2029
isogroup241367,179,919,190,1083
isogroup241376,36,237,30,243
isogroup241386,14,129,23,112
isogroup241389,150,846,191,1035
isogroup241390,2,28,13,225
isogroup241404,41,198,54,218
isogroup241413,32,209,26,165
isogroup241418,258,1422,293,1590
isogroup241419,232,1138,378,1381
isogroup241420,63,392,73,296
isogroup241424,195,917,278,1150
isogroup241426,2,1,2,0
isogroup241427,70,498,46,293
isogroup241429,87,316,90,256
isogroup241432,350,2260,452,2567
isogroup241440,65,490,100,569
isogroup241442,12,35,2,27
isogroup241443,13,58,30,93
isogroup241446,129,584,184,760
isogroup241452,6,33,8,50
isogroup241454,450,2438,811,3718
isogroup241462,506,5572,607,3474
isogroup241463,24,166,53,194
isogroup241476,480,2889,486,2865
isogroup241485,2146,9354,2958,10692
isogroup241493,264,3451,360,4327
isogroup241509,55,272,57,292
isogroup241529,42,327,91,413
isogroup241530,0,0,0,0
isogroup241531,391,1820,492,2187
isogroup241533,49,279,53,397
isogroup241535,69,424,79,341
isogroup241537,46,278,46,258
isogroup241556,77,464,87,629
isogroup241561,209,1356,193,1099
isogroup241562,135,608,268,760
isogroup241566,262,1088,483,1272
isogroup241567,5,42,7,35
isogroup241575,0,1,0,0
isogroup241592,93,385,84,377
isogroup241597,265,1383,369,1736
isogroup241602,6,139,19,38
isogroup241608,260,922,395,1045
isogroup241609,12,149,28,144
isogroup241612,297,1824,485,1970
isogroup241622,20,131,13,111
isogroup241626,204,631,215,1013
isogroup241627,1292,6721,2021,8289
isogroup241630,31,159,15,135
isogroup241632,56,251,66,303
isogroup241642,32,115,47,116
isogroup241648,48,323,59,353
isogroup241649,10,37,14,139
isogroup241650,184,1208,371,1450
isogroup241651,246,2034,241,1626
isogroup241657,19,89,31,92
isogroup241659,88,472,79,415
isogroup241661,58,377,104,367
isogroup241663,152,739,139,735
isogroup241667,218,821,444,1362
isogroup241672,2,24,5,21
isogroup241674,0,18,5,33
isogroup241685,346,1262,511,1550
isogroup241689,13,46,7,68
isogroup241695,137,829,227,940
isogroup241696,20,20,25,85
isogroup241707,208,1394,193,1159
isogroup241718,25,258,44,122
isogroup241726,196,865,217,924
isogroup241728,12,73,3,40
isogroup241732,83,3025,163,555
isogroup241748,424,2073,470,2094
isogroup241751,30,258,45,216
isogroup241754,75,340,121,443
isogroup241763,16,113,13,128
isogroup241764,2962,20148,3497,18311
isogroup241768,15,42,5,33
isogroup241770,37,218,64,205
isogroup241773,678,3206,883,3515
isogroup241775,16,55,17,83
isogroup241778,21,157,50,242
isogroup241780,16,40,21,57
isogroup241785,595,3839,746,4138
isogroup241786,126,565,137,546
isogroup241788,185,726,280,780
isogroup241789,74,400,101,402
isogroup241790,55,647,75,676
isogroup241792,22,147,54,197
isogroup241811,136,460,228,699
isogroup241812,28,170,27,185
isogroup241814,564,3105,800,3829
isogroup241815,75,427,154,649
isogroup241817,2,0,7,1
isogroup241820,76,895,71,931
isogroup241826,4,12,10,31
isogroup241830,18,232,23,140
isogroup241833,168,1062,214,1222
isogroup241836,35,202,52,216
isogroup241838,21,136,35,148
isogroup241843,114,758,85,710
isogroup241845,58,198,7,77
isogroup241847,23,189,12,90
isogroup241853,200,1328,232,1381
isogroup241856,9,32,9,42
isogroup241857,67,296,66,338
isogroup241858,4,39,6,57
isogroup241867,50,197,86,207
isogroup241871,203,1403,189,1674
isogroup241872,30,191,25,189
isogroup241875,8,36,10,49
isogroup241879,17,110,7,33
isogroup241886,2,83,5,46
isogroup241888,265,2499,297,2235
isogroup241894,491,2661,651,3420
isogroup241896,7,12,14,26
isogroup241910,44,2162,40,108
isogroup241912,841,3596,1023,3728
isogroup241915,234,2200,546,1739
isogroup241917,843,4879,1079,4218
isogroup241923,59,250,104,351
isogroup241926,293,1122,479,1483
isogroup241930,7,41,6,16
isogroup241937,44,463,83,708
isogroup241943,62,236,84,309
isogroup241945,41,169,27,125
isogroup241949,14,89,40,105
isogroup241952,41,131,12,65
isogroup241955,117,72,139,70
isogroup241957,9,82,3,39
isogroup241963,156,719,117,688
isogroup241969,29,96,43,160
isogroup241972,606,3862,631,3734
isogroup241981,9,50,11,74
isogroup241983,12,17,5,38
isogroup241984,8,46,6,36
isogroup241986,262,1604,427,1801
isogroup241988,1,51,12,92
isogroup241998,479,3538,450,3052
isogroup242000,18,91,16,64
isogroup242003,6,93,23,113
isogroup242012,254,1368,306,1227
isogroup242016,323,1706,406,2513
isogroup242017,60,290,43,233
isogroup242018,50,229,149,345
isogroup242022,3234,12983,4633,14696
isogroup242024,59,349,61,340
isogroup242027,31,175,27,138
isogroup242031,185,907,202,1151
isogroup242044,6,27,3,59
isogroup242048,302,1229,346,1481
isogroup242054,155,696,237,783
isogroup242061,201,1008,277,1123
isogroup242062,214,817,52,489
isogroup242067,498,693,387,612
isogroup242070,585,3389,886,4050
isogroup242074,11,54,17,43
isogroup242079,7,41,10,35
isogroup242081,106,821,121,702
isogroup242082,5,20,5,15
isogroup242087,20,0,27,0
isogroup242089,344,1659,596,2278
isogroup242090,359,1361,524,1622
isogroup242100,212,1135,287,1165
isogroup242104,22,142,45,117
isogroup242108,61,255,81,335
isogroup242109,84,500,134,666
isogroup242112,16,88,10,76
isogroup242120,12,156,17,83
isogroup242124,72,528,57,422
isogroup242127,362,2509,332,2526
isogroup242130,113,505,193,639
isogroup242137,137,1000,241,1199
isogroup242141,27,108,27,101
isogroup242150,66,429,143,549
isogroup242157,105,90,188,148
isogroup242158,27,157,42,179
isogroup242160,12,42,20,109
isogroup242164,172,908,243,953
