,Control_1,Hot_1,Control_2,Hot_2
isogroup113392,15,399,43,90
isogroup113419,13,534,22,129
isogroup113433,61,512,43,404
isogroup113436,12,578,38,115
isogroup113511,46,1,71,0
isogroup113562,221,56,209,21
isogroup113596,374,8,316,0
isogroup113603,228,233,295,193
isogroup113853,313,2802,68,14
isogroup113900,181,722,217,756
isogroup113955,91,6,100,0
isogroup114019,301,1630,417,1507
isogroup11426,0,0,0,0
isogroup114288,86,489,121,537
isogroup114367,254,1214,396,1791
isogroup114652,346,3,259,2
isogroup114684,237,10,214,0
isogroup114763,242,648,370,762
isogroup115050,310,1368,367,1380
isogroup115090,272,1196,403,1233
isogroup115953,309,5458,350,5785
isogroup116182,3946,16928,5613,20700
isogroup116184,6754,26335,10414,33742
isogroup116251,542,2610,811,3454
isogroup116707,949,4,507,2
isogroup116908,170,1209,201,1085
isogroup116942,181,1124,211,1215
isogroup117221,132,29,177,276
isogroup117568,253,7,281,1
isogroup117608,222,7,266,1
isogroup117611,74,235,103,377
isogroup117621,486,8,453,1
isogroup117628,66,449,82,479
isogroup117638,453,4,187,1
isogroup117724,180,6,124,0
isogroup117735,435,9,373,0
isogroup117791,575,4,552,1
isogroup117854,363,7,297,0
isogroup117930,31,138,81,197
isogroup117937,143,4,169,0
isogroup118014,158,1047,368,1028
isogroup118116,227,1,92,0
isogroup118147,89,397,106,450
isogroup118169,200,0,50,0
isogroup11820,4,19,0,0
isogroup118264,249,11,97,1
isogroup118385,132,6,134,1
isogroup118395,130,4,161,0
isogroup118396,152,1073,74,678
isogroup118458,26,0,16,0
isogroup11846,0,0,0,0
isogroup118463,126,1,127,1
isogroup118515,107,8,100,1
isogroup11854,2,1,1,1
isogroup118563,246,1,239,1
isogroup118667,46,1689,97,360
isogroup118684,774,13,338,0
isogroup118752,380,3,283,1
isogroup118755,98,612,173,858
isogroup118924,132,318,110,348
isogroup118930,162,1069,186,950
isogroup118959,332,3,128,4
isogroup119307,83,689,111,769
isogroup119743,296,1586,340,1719
isogroup119895,488,6,507,1
isogroup119920,65,491,91,540
isogroup120029,72,0,62,1
isogroup120082,114,0,80,1
isogroup120112,28,3,38,1
isogroup120123,17,108,17,114
isogroup120177,12,73,5,43
isogroup120182,1,54,1,12
isogroup120193,16,354,31,111
isogroup120216,38,0,48,0
isogroup120323,7,283,18,71
isogroup120338,42,0,64,0
isogroup120422,12,73,5,64
isogroup120445,124,2,127,2
isogroup120490,64,3,76,1
isogroup120493,4,249,20,68
isogroup120504,11,255,35,76
isogroup120533,0,0,0,0
isogroup120574,8,297,21,82
isogroup120609,110,2,115,0
isogroup120725,2,294,30,56
isogroup120838,4,336,15,89
isogroup120881,97,264,104,57
isogroup120905,44,4,40,0
isogroup121138,95,1,97,0
isogroup121230,10,505,30,158
isogroup121231,32,1,54,0
isogroup121255,10,310,24,84
isogroup121257,24,416,33,138
isogroup121389,1,25,2,6
isogroup121432,13,89,3,55
isogroup121462,3,129,6,31
isogroup121479,6,103,2,11
isogroup121483,4,128,11,36
isogroup121529,29,385,54,148
isogroup121579,87,2,194,0
isogroup121583,79,493,78,530
isogroup121607,31,172,42,44
isogroup121617,5,214,14,63
isogroup121667,35,6,73,1
isogroup121702,54,1,63,1
isogroup121740,4,197,12,60
isogroup121745,5,108,8,27
isogroup121847,3,218,9,38
isogroup12186,0,0,0,0
isogroup121864,33,1,34,0
isogroup121922,9,283,22,54
isogroup121954,23,112,36,113
isogroup122038,16,78,3,64
isogroup122041,6,127,11,39
isogroup122186,17,155,20,42
isogroup122237,149,817,199,889
isogroup12226,2,28,5,13
isogroup122264,65,1,77,0
isogroup122288,8,179,25,57
isogroup122304,3,186,11,26
isogroup122413,16,376,28,99
isogroup122437,72,4,79,0
isogroup122491,17,55,10,56
isogroup122543,4,234,20,74
isogroup122561,41,3,50,0
isogroup122576,0,32,4,8
isogroup122610,60,248,69,47
isogroup122691,4,216,22,70
isogroup122735,10,200,27,74
isogroup122826,59,1,55,0
isogroup122833,219,7,227,2
isogroup122890,101,7,99,0
isogroup122983,153,2,149,1
isogroup123027,136,7,93,0
isogroup123069,20,429,43,103
isogroup123082,12,0,200,0
isogroup123156,130,5,111,1
isogroup123170,41,0,61,0
isogroup123223,10,605,43,157
isogroup123227,69,0,69,0
isogroup123322,132,2,169,0
isogroup123330,18,59,16,79
isogroup123333,132,3,111,0
isogroup123369,96,4,123,1
isogroup123391,12,443,42,120
isogroup123492,4,0,7,0
isogroup123494,135,3,227,1
isogroup123523,47,6,81,0
isogroup123546,56,4,99,0
isogroup123582,148,2,172,0
isogroup123585,163,7,132,0
isogroup123593,16,835,43,176
isogroup123599,183,6,183,0
isogroup123604,23,1,43,1
isogroup123716,150,2,76,0
isogroup123739,12,294,16,62
isogroup123812,68,2,75,0
isogroup123874,5,123,26,189
isogroup123904,14,620,42,170
isogroup124020,13,537,23,113
isogroup124127,15,0,20,0
isogroup124175,11,93,17,92
isogroup124220,11,286,14,69
isogroup124281,24,125,9,100
isogroup124328,28,193,39,244
isogroup124340,25,4,45,0
isogroup124364,11,329,40,135
isogroup124399,8,399,33,81
isogroup124450,31,0,44,0
isogroup124532,5,323,19,68
isogroup124546,17,52,26,64
isogroup124600,10,381,37,105
isogroup124699,67,2,79,2
isogroup124701,11,497,46,145
isogroup124722,39,2,31,1
isogroup124723,143,6,168,1
isogroup124772,139,3,148,0
isogroup124855,67,8,92,1
isogroup124856,11,421,37,116
isogroup124898,133,523,194,680
isogroup124950,88,1,97,0
isogroup125000,109,1,117,0
isogroup125013,83,2,106,0
isogroup125071,33,4,32,0
isogroup125103,10,107,9,74
isogroup125105,27,244,24,194
isogroup125112,20,667,54,122
isogroup125116,31,473,50,146
isogroup125150,20,62,26,62
isogroup125162,111,376,138,82
isogroup125164,7,372,31,115
isogroup125305,32,0,49,0
isogroup125341,47,3,62,0
isogroup125353,66,3,94,0
isogroup125399,0,4,2,14
isogroup125403,3,6,2,6
isogroup125489,1,6,2,7
isogroup125633,0,7,13,59
isogroup125639,0,14,1,5
isogroup125667,0,11,1,7
isogroup125774,4,26,5,27
isogroup125837,1,5,2,6
isogroup125881,0,5,3,4
isogroup125900,3,21,0,12
